Phage,Species,Result
phage_10109074,Clostridium phage phiCP39-O,endolysin
phage_10115553,Clostridium phage phiCP26F,endolysin
phage_10133736,Clostridium phage phiCP13O,endolysin
phage_10133761,Clostridium phage phiCP34O,endolysin
phage_10146935,Clostridium phage phi24R,endolysin
phage_10271438,Lachnospiraceae bacterium,N-acetylmuramoyl-L-alanine amidase
phage_1029515,Caudoviricetes sp.,Cell wall hydrolase autolysin
phage_10429037,Clostridium hydrogeniformans,N-acetylmuramoyl-L-alanine amidase
phage_10592026,Clostridium phage CpP_VarHS,endolysin
phage_10965508,Clostridium perfringens,N-acetylmuramoyl-L-alanine amidase
phage_11131646,Clostridium beijerinckii,N-acetylmuramoyl-L-alanine amidase
phage_11298483,Clostridium phage XP41-N3,N-acetylmuramoyl-L-alanine amidase
phage_12128796,Clostridium saccharoperbutylacetonicum,N-acetylmuramoyl-L-alanine amidase
phage_12141095,Clostridium saccharoperbutylacetonicum,N-acetylmuramoyl-L-alanine amidase
phage_12218757,Clostridium beijerinckii,N-acetylmuramoyl-L-alanine amidase
phage_12241748,Faecalimonas umbilicata,N-acetylmuramoyl-L-alanine amidase
phage_12392620,Clostridium beijerinckii,N-acetylmuramoyl-L-alanine amidase
phage_12392667,Clostridium beijerinckii,N-acetylmuramoyl-L-alanine amidase
phage_12392716,Clostridium beijerinckii,N-acetylmuramoyl-L-alanine amidase
phage_12421640,Clostridium beijerinckii,N-acetylmuramoyl-L-alanine amidase
phage_12463887,Clostridium,N-acetylmuramoyl-L-alanine amidase
phage_12920168,unclassified Clostridium,N-acetylmuramoyl-L-alanine amidase
phage_13112795,Clostridium beijerinckii,N-acetylmuramoyl-L-alanine amidase
phage_13168448,Clostridium beijerinckii,N-acetylmuramoyl-L-alanine amidase
phage_13750375,Caudoviricetes sp.,Cell wall hydrolase autolysin
phage_13911074,Caudoviricetes sp.,Cell wall hydrolase autolysin
phage_15541525,Clostridium phage CpV1,endolysin
phage_15543458,Clostridium phage CPS1,endolysin
phage_15546918,Clostridium phage susfortuna,endolysin
phage_15548467,Clostridium phage CPD2,endolysin
phage_1630508,Ruminococcus,N-acetylmuramoyl-L-alanine amidase
phage_388832,Clostridium phage phiCP26F,endolysin
phage_390778,Siphoviridae sp.,Cell wall hydrolase autolysin
phage_6074510,Clostridium perfringens,N-acetylmuramoyl-L-alanine amidase
phage_6296379,Caudoviricetes sp.,Cell wall hydrolase autolysin
phage_7291514,Clostridium phage phiCP34O,endolysin
phage_739573,Caudoviricetes sp.,Cell wall hydrolase autolysin
phage_7414921,Clostridium phage CPD7,N-acetylmuramoyl-L-alanine amidase
phage_7693405,Clostridium phage vB_CPP_AT,hypothetical protein vBCPPAT_7
phage_7781077,Siphoviridae sp. ctNU74,Cell wall hydrolase autolysin
phage_8018235,Siphoviridae sp. ctNU74,Cell wall hydrolase autolysin
phage_8998904,Caudoviricetes sp.,Cell wall hydrolase autolysin
phage_9074532,Clostridium phage CP1,endolysin
phage_9170729,Clostridium phage vB_CpeP_PM11,N-acetylmuramoyl-L-alanine amidase
phage_9247675,Clostridium perfringens,N-acetylmuramoyl-L-alanine amidase
phage_9305197,Clostridium perfringens,N-acetylmuramoyl-L-alanine amidase
phage_9565915,Caudoviricetes sp.,Cell wall hydrolase autolysin
phage_9701888,Caudoviricetes sp.,Cell wall hydrolase autolysin
phage_985351,Caudoviricetes sp.,Cell wall hydrolase autolysin
phage_9969585,Clostridium phage CPD2,endolysin
phage_vB-CPP-WC01,Clostridium phage vB-CPP-WC01,endolysin
