标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|395335456|gb|JX077102.1| Staphylococcus equorum strain +Y111 16S ribosomal RNA gene, partial sequence",1455,JX077102.1,Staphylococcus equorum,Staphylococcus,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1138,99.48%,2,1-1144,1453-312
"gi|1070636027|gb|KX832694.1| Staphylococcus equorum strain C15 16S ribosomal RNA gene, partial sequence",1452,KX832694.1,Staphylococcus equorum,Staphylococcus,strain C15,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1138,99.48%,2,1-1144,1450-309
"gi|2508938073|gb|OR028943.1| Staphylococcus equorum strain MF B10 16S ribosomal RNA gene, partial sequence",1446,OR028943.1,Staphylococcus equorum,Staphylococcus,strain MF,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1138,99.48%,2,1-1144,1444-303
"gi|395335460|gb|JX077106.1| Staphylococcus equorum strain Y12 16S ribosomal RNA gene, partial sequence",1452,JX077106.1,Staphylococcus equorum,Staphylococcus,strain Y12,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1138,99.48%,2,1-1144,1450-309
"gi|1070636021|gb|KX832693.1| Brucella intermedia strain C14 16S ribosomal RNA gene, partial sequence",1452,KX832693.1,Brucella intermedia,Brucella,strain C14,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1138,99.48%,2,1-1144,1450-309
"gi|1444582323|gb|MH727836.1| Staphylococcus equorum strain L-5 16S ribosomal RNA gene, partial sequence",1463,MH727836.1,Staphylococcus equorum,Staphylococcus,strain L-5,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1138,99.48%,2,1-1144,1456-315
"gi|1342770541|gb|MG937672.1| Staphylococcus equorum subsp. equorum strain SML_M126 16S ribosomal RNA gene, partial sequence",1443,MG937672.1,Staphylococcus equorum,Staphylococcus,strain SML_M126,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1137,99.48%,2,2-1144,1441-301
"gi|395335454|gb|JX077100.1| Staphylococcus equorum strain +Y17 16S ribosomal RNA gene, partial sequence",1450,JX077100.1,Staphylococcus equorum,Staphylococcus,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1142,1136,99.47%,2,3-1144,1448-309
"gi|2447466572|gb|OQ472444.1| Staphylococcus equorum subsp. equorum strain T1Z36 16S ribosomal RNA gene, partial sequence",1435,OQ472444.1,Staphylococcus equorum,Staphylococcus,strain T1Z36,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1145,1138,99.39%,3,1-1144,1433-291
"gi|1402404731|gb|MG049771.1| Staphylococcus sp. strain LJ40 16S ribosomal RNA gene, partial sequence",1457,MG049771.1,Staphylococcus sp,Staphylococcus,strain LJ40,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1145,1138,99.39%,3,1-1144,1454-312
"gi|440337806|gb|KC113044.1| Staphylococcus sp. HT 16S ribosomal RNA gene, partial sequence",1458,KC113044.1,Staphylococcus sp,Staphylococcus,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1145,1138,99.39%,3,1-1144,1456-314
"gi|2447466576|gb|OQ472446.1| Staphylococcus equorum subsp. equorum strain T1Z32 16S ribosomal RNA gene, partial sequence",1444,OQ472446.1,Staphylococcus equorum,Staphylococcus,strain T1Z32,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1145,1138,99.39%,3,1-1144,1444-302
"gi|1150762872|gb|KY681447.1| Staphylococcus equorum strain HPB1 16S ribosomal RNA gene, partial sequence",1440,KY681447.1,Staphylococcus equorum,Staphylococcus,strain HPB1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1141,1135,99.47%,2,4-1144,1426-288
"gi|356601458|gb|HQ699511.1| Staphylococcus equorum subsp. equorum strain M64 16S ribosomal RNA gene, partial sequence",1452,HQ699511.1,Staphylococcus equorum,Staphylococcus,strain M64,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1137,99.39%,3,1-1144,1452-312
"gi|1342770540|gb|MG937671.1| Staphylococcus equorum subsp. equorum strain SML_M125 16S ribosomal RNA gene, partial sequence",1443,MG937671.1,Staphylococcus equorum,Staphylococcus,strain SML_M125,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1137,99.39%,3,2-1144,1442-301
"gi|893688111|gb|KP745578.1| Staphylococcus equorum subsp. equorum strain 4Lv.2 16S ribosomal RNA gene, partial sequence",1418,KP745578.1,Staphylococcus equorum,Staphylococcus,strain 4Lv.2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1138,99.30%,4,1-1144,1412-269
"gi|1444582322|gb|MH727835.1| Staphylococcus equorum strain L-7 16S ribosomal RNA gene, partial sequence",1467,MH727835.1,Staphylococcus equorum,Staphylococcus,strain L-7,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1138,99.30%,4,1-1144,1461-318
"gi|342161221|gb|JN224983.1| Staphylococcus sp. C29(2011) 16S ribosomal RNA gene, partial sequence",1462,JN224983.1,Staphylococcus sp,Staphylococcus,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1138,99.30%,4,1-1144,1456-313
"gi|2332354795|gb|OP862446.1| Staphylococcus equorum strain NR_5-1 16S ribosomal RNA gene, partial sequence",1454,OP862446.1,Staphylococcus equorum,Staphylococcus,strain NR_5-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1145,1137,99.30%,3,1-1144,1451-309
"gi|395335455|gb|JX077101.1| Staphylococcus equorum strain +Y18 16S ribosomal RNA gene, partial sequence",1452,JX077101.1,Staphylococcus equorum,Staphylococcus,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1136,99.39%,3,3-1144,1449-309
