english,chinese,category
complete genome,complete genome,sequence
strain,strain,strain
16S ribosomal RNA gene,16S ribosomal RNA gene,gene
partial sequence,partial sequence,sequence
clone,clone,strain
16S ribosomal RNA,16S ribosomal RNA,gene
16S rRNA gene,16S rRNA gene,gene
partial 16S rRNA gene,partial 16S rRNA gene,sequence
gene for 16S rRNA,gene for 16S rRNA,gene
ribosomal RNA gene,ribosomal RNA gene,gene
isolate,isolate,strain
complete sequence,complete sequence,sequence
subsp.,subsp.,strain
