标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|148730799|gb|EF573018.1| Uncultured bacterium clone S23_1117 16S ribosomal RNA gene, partial sequence",1500,EF573018.1,Uncultured bacterium,Uncultured,clone S23_1117,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1029,1026,99.71%,2,2-1029,1466-439
"gi|2980446520|dbj|LC873090.1| Vogesella urethralis 18-25 gene for 16S rRNA, partial sequence",1484,LC873090.1,Vogesella urethralis,Vogesella,,gene for 16S rRNA,partial sequence,1,0.00e+00,1029,1026,99.71%,2,2-1029,1459-432
"gi|1864207195|ref|NR_169490.1| Vogesella urethralis strain YM-1 16S ribosomal RNA, partial sequence >gi|1532669318|gb|MK281476.1| Vogesella urethralis 16S ribosomal RNA gene, partial sequence",1439,NR_169490.1,Vogesella urethralis,Vogesella,strain YM-1,16S ribosomal RNA,partial sequence,1,0.00e+00,1023,1021,99.80%,2,7-1029,1432-412
"gi|383210727|dbj|AB698041.1| Uncultured bacterium gene for 16S rRNA, partial sequence, clone: SK211",1594,AB698041.1,Uncultured bacterium,Uncultured,,gene for 16S rRNA,partial sequence,1,0.00e+00,1030,1026,99.61%,3,2-1029,1514-486
"gi|750910349|gb|KP204492.1| Uncultured bacterium clone LMa-biof-bact_h11 16S ribosomal RNA gene, partial sequence",1494,KP204492.1,Uncultured bacterium,Uncultured,clone LMa-biof-bact_h11,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1029,1025,99.61%,2,2-1029,1466-439
"gi|1149120634|dbj|LC217414.1| Beta proteobacterium BIWA27 gene for 16S ribosomal RNA, partial sequence",1481,LC217414.1,Beta proteobacterium,Beta,,16S ribosomal RNA,partial sequence,1,0.00e+00,1029,1025,99.61%,2,2-1029,1449-422
"gi|358633468|emb|HE614874.1| Vogesella perlucida partial 16S rRNA gene, strain GR-9",1449,HE614874.1,Vogesella perlucida,Vogesella,strain GR-9,16S rRNA gene,partial 16S rRNA gene,1,0.00e+00,1029,1025,99.61%,2,2-1029,1423-396
"gi|225032108|gb|FJ821602.1| Vogesella sp. TPS6 16S ribosomal RNA gene, partial sequence",1430,FJ821602.1,Vogesella sp,Vogesella,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1024,1021,99.71%,2,7-1029,1430-408
"gi|662247338|gb|KJ725364.1| Vibrio cholerae strain N4 16S ribosomal RNA gene, partial sequence",1442,KJ725364.1,Vibrio cholerae,Vibrio,strain N4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1023,1020,99.71%,2,7-1029,1434-414
"gi|1275509825|gb|MG438520.1| Vogesella perlucida strain BN_2063 16S ribosomal RNA gene, partial sequence",1499,MG438520.1,Vogesella perlucida,Vogesella,strain BN_2063,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1029,1024,99.51%,2,2-1029,1466-439
"gi|1003337441|gb|KU851850.1| Uncultured bacterium clone NR_Bact_9 16S ribosomal RNA gene, partial sequence",1539,KU851850.1,Uncultured bacterium,Uncultured,clone NR_Bact_9,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1029,1024,99.51%,2,2-1029,1467-440
"gi|2672039202|gb|PP301771.1| Vogesella oryzae strain MRC1321 16S ribosomal RNA gene, partial sequence",1478,PP301771.1,Vogesella oryzae,Vogesella,strain MRC1321,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1029,1024,99.51%,2,2-1029,1442-415
"gi|1251770512|gb|MG011585.1| Vogesella perlucida strain MnW3201005 16S ribosomal RNA gene, partial sequence",1438,MG011585.1,Vogesella perlucida,Vogesella,strain MnW3201005,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1029,1023,99.42%,2,2-1029,1419-392
"gi|2124242701|gb|CP085530.1| Vogesella sp. XCS3 chromosome, complete genome",3724844,CP085530.1,Vogesella sp,Vogesella,,,complete genome,1,0.00e+00,1029,1023,99.42%,2,2-1029,76114-75087
"gi|2124242701|gb|CP085530.1| Vogesella sp. XCS3 chromosome, complete genome",3724844,CP085530.1,Vogesella sp,Vogesella,,,complete genome,1,0.00e+00,1029,1023,99.42%,2,2-1029,557282-556255
"gi|2124242701|gb|CP085530.1| Vogesella sp. XCS3 chromosome, complete genome",3724844,CP085530.1,Vogesella sp,Vogesella,,,complete genome,1,0.00e+00,1029,1023,99.42%,2,2-1029,1284096-1285123
"gi|2124242701|gb|CP085530.1| Vogesella sp. XCS3 chromosome, complete genome",3724844,CP085530.1,Vogesella sp,Vogesella,,,complete genome,1,0.00e+00,1029,1023,99.42%,2,2-1029,1861978-1863005
"gi|2124242701|gb|CP085530.1| Vogesella sp. XCS3 chromosome, complete genome",3724844,CP085530.1,Vogesella sp,Vogesella,,,complete genome,1,0.00e+00,1029,1023,99.42%,2,2-1029,2134213-2135240
"gi|2124242701|gb|CP085530.1| Vogesella sp. XCS3 chromosome, complete genome",3724844,CP085530.1,Vogesella sp,Vogesella,,,complete genome,1,0.00e+00,1029,1023,99.42%,2,2-1029,2514413-2515440
"gi|2124242701|gb|CP085530.1| Vogesella sp. XCS3 chromosome, complete genome",3724844,CP085530.1,Vogesella sp,Vogesella,,,complete genome,1,0.00e+00,1029,1023,99.42%,2,2-1029,2600735-2601762
"gi|2124242701|gb|CP085530.1| Vogesella sp. XCS3 chromosome, complete genome",3724844,CP085530.1,Vogesella sp,Vogesella,,,complete genome,1,0.00e+00,1029,1023,99.42%,2,2-1029,3061254-3060227
"gi|2124242701|gb|CP085530.1| Vogesella sp. XCS3 chromosome, complete genome",3724844,CP085530.1,Vogesella sp,Vogesella,,,complete genome,1,0.00e+00,1029,1023,99.42%,2,2-1029,3491057-3490030
"gi|1747249445|gb|MN493068.1| Vogesella perlucida strain TL1 16S ribosomal RNA gene, partial sequence",1414,MN493068.1,Vogesella perlucida,Vogesella,strain TL1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1029,1023,99.42%,2,2-1029,1409-382
"gi|1476681527|gb|MH917925.1| Vogesella perlucida strain REASP-3 16S ribosomal RNA gene, partial sequence",1469,MH917925.1,Vogesella perlucida,Vogesella,strain REASP-3,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1029,1023,99.42%,2,2-1029,1452-425
"gi|343199019|ref|NR_044326.1| Vogesella perlucida strain DS-28 16S ribosomal RNA, partial sequence >gi|149786251|gb|EF626691.1| Vogesella perlucida strain DS-28 16S ribosomal RNA gene, partial sequence",1414,NR_044326.1,Vogesella perlucida,Vogesella,strain DS-28,16S ribosomal RNA,partial sequence,1,0.00e+00,1029,1023,99.42%,2,2-1029,1409-382
"gi|186898210|gb|EU626190.1| Freshwater bacterium LH6-8 16S ribosomal RNA gene, partial sequence",1487,EU626190.1,Freshwater bacterium,Freshwater,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1029,1023,99.42%,2,2-1029,1446-419
"gi|2625929227|gb|OR899285.1| Vogesella sp. strain LS11 16S ribosomal RNA gene, partial sequence",1383,OR899285.1,Vogesella sp,Vogesella,strain LS11,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1014,1013,99.90%,1,16-1029,1383-371
"gi|399107428|gb|JX105692.1| Uncultured bacterium clone T60-Ps-25C-38 16S ribosomal RNA gene, complete sequence",1494,JX105692.1,Uncultured bacterium,Uncultured,clone T60-Ps-25C-38,16S ribosomal RNA gene,complete sequence,1,0.00e+00,1029,1023,99.42%,2,2-1029,1466-439
